server_name,season,discord_id,username,combined_rank,combined_mmr,combined_games_played_pct,combined_wins,combined_losses,combined_win_pct,crewmate_rank,crewmate_mmr,crewmate_games_played_pct,crewmate_wins,crewmate_losses,crewmate_win_pct,impostor_rank,impostor_mmr,impostor_games_played_pct,impostor_wins,impostor_losses,impostor_win_pct
5UP Community,1,283313710666088448,BanditLady100,88,874,100,9,3,75,115,910,92,8,3,73,75,837,8,1,0,100
5UP Community,1,667931188144635917,Bedstar,61,910,100,21,14,60,94,934,74,19,7,73,57,886,26,2,7,22
5UP Community,1,108165660307099648,bellaishungry,172,789,100,12,8,60,133,886,95,12,7,63,229,692,5,0,1,0
5UP Community,1,222437975110320138,Big P (Crewmate),73,895,100,13,4,76,71,958,82,12,2,86,82,832,18,1,2,33
5UP Community,1,663534754703867944,Blessed,67,904,100,16,12,57,171,839,79,13,9,59,23,969,21,3,3,50
5UP Community,1,485975276866764800,Bob the Wise,124,829,100,8,7,53,203,812,93,7,7,50,68,846,7,1,0,100
5UP Community,1,159294029224345600,boredom1,29,983,100,82,49,63,38,1003,79,77,27,74,25,963,21,5,22,19
5UP Community,1,385750169276383233,Brambora,299,670,100,0,3,0,300,649,67,0,2,0,240,691,33,0,1,0
5UP Community,1,296074624079495170,Brendda.,145,809,100,6,7,46,208,804,77,5,5,50,110,814,23,1,2,33
5UP Community,1,261996377343655937,bricnic101,244,728,100,38,33,54,150,867,79,38,18,68,304,589,21,0,15,0
5UP Community,1,715346348710297622,Bryce,27,987,100,25,14,64,63,967,77,21,9,70,10,1006,23,4,5,44
5UP Community,1,588783212696829952,bt08,43,950,100,77,41,65,35,1009,81,73,22,77,53,892,19,4,19,17
5UP Community,1,450970931456901141,Bzrk,103,852,100,6,3,67,138,881,67,5,1,83,94,822,33,1,2,33
5UP Community,1,264190630178062336,caleysway,204,762,100,3,1,75,183,824,100,3,1,75,151,700,0,0,0,0
5UP Community,1,567537616660987907,callixpe,135,817,100,7,8,47,184,823,73,6,5,55,114,811,27,1,3,25
5UP Community,1,880230860736053278,cara (she/they)🐸🐸,36,957,100,67,40,63,111,917,80,62,24,72,15,998,20,5,16,24
5UP Community,1,635519911984234526,chriss,240,732,100,4,7,36,214,786,82,4,5,44,278,678,18,0,2,0
5UP Community,1,563566855848067095,clarity,106,848,100,5,3,63,144,874,63,4,1,80,97,821,38,1,2,33
5UP Community,1,921617092594241566,cln,25,992,100,41,16,72,15,1072,81,38,8,83,45,912,19,3,8,27
5UP Community,1,756544945111826473,Cloe(NotNPC ),112,837,100,29,27,52,181,824,77,27,16,63,66,849,23,2,11,15
5UP Community,1,119268951862542338,cloves,34,963,100,27,9,75,67,960,92,24,9,73,24,967,8,3,0,100
5UP Community,1,108165660307099648,cluwuless (she/her),166,794,100,7,5,58,114,912,75,7,2,78,281,677,25,0,3,0
5UP Community,1,373775800568119296,Collusion,15,1002,100,172,73,70,13,1084,81,156,43,78,40,919,19,16,30,35
5UP Community,1,942568122676830248,Courage,130,822,100,12,5,71,87,942,94,12,4,75,143,701,6,0,1,0
5UP Community,1,671091626453630996,CowOnMEGATILT #teams&amp;s,102,854,100,17,13,57,110,918,77,16,7,70,127,789,23,1,6,14
5UP Community,1,500058687218647042,dabagraham,311,131,100,15,5,75,311,158,85,13,4,76,311,103,15,2,1,67
5UP Community,1,718171482236387343,dafd,167,793,100,5,1,83,132,887,100,5,1,83,151,700,0,0,0,0
5UP Community,1,492899982538702855,Darkflip,308,435,100,18,8,69,308,359,85,14,8,64,306,512,15,4,0,100
5UP Community,1,294050178061828096,decode98,32,964,100,29,7,81,9,1095,92,28,5,85,81,833,8,1,2,33
5UP Community,1,743416297487990795,deejaypataks,262,701,100,2,6,25,257,703,100,2,6,25,209,699,0,0,0,0
5UP Community,1,933040979349483611,defayant,98,866,100,9,4,69,126,900,85,8,3,73,83,831,15,1,1,50
5UP Community,1,988281593317720104,Deg,307,459,100,10,7,59,307,426,82,8,6,57,307,492,18,2,1,67
5UP Community,1,647836620057477139,Dhm (MDCIRG),146,809,100,8,3,73,100,928,91,8,2,80,244,690,9,0,1,0
5UP Community,1,468484337881579520,doc,165,795,100,8,5,62,131,890,100,8,5,62,151,700,0,0,0,0
5UP Community,1,828595602765381632,Dream big,54,920,100,16,9,64,82,947,80,14,6,70,52,892,20,2,3,40
5UP Community,1,585538346718068906,Ekko ⥑Ðior⥏ #teammina,11,1004,100,221,92,71,6,1110,81,203,52,80,49,898,19,18,40,31
5UP Community,1,748622756471636044,elinof,202,763,100,2,4,33,256,704,67,1,3,25,95,822,33,1,1,50
5UP Community,1,232795424694468608,Fax,133,818,100,12,5,71,84,946,94,12,4,75,239,691,6,0,1,0
5UP Community,1,469113618651283456,Fear [✩],309,318,100,29,18,62,309,275,72,23,11,68,308,360,28,6,7,46
5UP Community,1,754200297018097745,fho ツ #teamShmurdda,12,1004,100,185,84,69,34,1012,83,171,52,77,16,996,17,14,32,30
5UP Community,1,483797556682424321,flippa0,38,957,100,34,15,69,29,1026,80,32,7,82,54,888,20,2,8,20
5UP Community,1,639578389904097293,food,72,899,100,29,20,59,51,988,73,27,9,75,116,809,27,2,11,15
5UP Community,1,760609172822687805,frazer🍕,7,1011,100,44,27,62,32,1020,79,39,17,70,14,1001,21,5,10,33
5UP Community,1,888863253281800232,Frostyhazard,79,887,100,8,2,80,72,956,70,7,0,100,102,818,30,1,2,33
5UP Community,1,705038345453174834,Froztyy.,37,957,100,42,31,58,66,963,75,38,17,69,29,951,25,4,14,22
5UP Community,1,179700755261947904,fumba,64,907,100,27,17,61,46,993,86,26,12,68,96,821,14,1,5,17
5UP Community,1,655052924866527233,fwitzy,35,958,100,125,79,61,104,923,79,115,47,71,17,993,21,10,32,24
5UP Community,1,928059624022761473,gatorade,24,992,100,21,8,72,24,1050,72,18,3,86,33,934,28,3,5,38
5UP Community,1,731692441509560472,givemejoker,252,719,100,5,8,38,240,756,85,5,6,45,261,683,15,0,2,0
5UP Community,1,297129124756062208,Grandpa,30,975,100,100,45,69,25,1049,84,96,26,79,48,902,16,4,19,17
5UP Community,1,759389288311554049,Houdini,121,833,100,61,41,60,80,952,82,60,24,71,139,715,18,1,17,6
5UP Community,1,462323740240248863,Huevito #Isupportbandit,52,930,100,14,7,67,85,944,76,12,4,75,44,916,24,2,3,40
5UP Community,1,246709866335305738,icy [𝙛𝙭] (Crewmate),8,1010,100,124,45,73,1,1157,81,114,23,83,62,863,19,10,22,31
5UP Community,1,517177523780452352,isa,78,888,100,26,20,57,43,998,70,25,7,78,135,778,30,1,13,7
5UP Community,1,493525800205942784,Italia[Æ],99,864,100,15,13,54,83,946,64,14,4,78,131,781,36,1,9,10
5UP Community,1,506678944192266240,itsJerod,50,936,100,13,5,72,76,954,83,11,4,73,41,919,17,2,1,67
5UP Community,1,318894085697961986,JACOB HARRIS,70,900,100,23,15,61,60,973,89,22,12,65,88,826,11,1,3,25
5UP Community,1,223670506564354048,jaspersomething,20,997,100,49,11,82,4,1128,85,46,5,90,59,867,15,3,6,33
5UP Community,1,633036263200653322,Jellypeanut,286,696,100,0,1,0,261,700,0,0,0,0,228,692,100,0,1,0
5UP Community,1,531956906366074880,JLA,87,876,100,12,6,67,86,944,83,11,4,73,118,808,17,1,2,33
5UP Community,1,539639679205769216,jmagicd2,109,843,100,4,4,50,237,758,63,2,3,40,35,927,38,2,1,67
5UP Community,1,989238030156054539,Johnathon Taylor,57,916,100,45,20,69,61,971,88,43,14,75,65,860,12,2,6,25
5UP Community,1,325970858759684096,JoJo,46,941,100,22,18,55,124,903,63,18,7,72,18,978,38,4,11,27
5UP Community,1,659492373549547561,Juggasaurus,75,890,100,15,6,71,75,955,86,14,4,78,89,826,14,1,2,33
